seed_key,hospital_name,username,password_demo_only
bharati_pune,"Bharati Hospital, Dhankawadi",bharati_pune,CareHosp@035
jupiter_pune,"Jupiter Hospital, Baner",jupiter_pune,CareHosp@036
manipal_kharadi_pune,"Manipal Hospital, Kharadi",manipal_kharadi_pune,CareHosp@037
gmch_nagpur,"Government Medical College and Hospital (GMCH), Nagpur",gmch_nagpur,CareHosp@038
mayo_nagpur,"Indira Gandhi Government Medical College and Hospital (Mayo), Nagpur",mayo_nagpur,CareHosp@039
aiims_nagpur,AIIMS Nagpur,aiims_nagpur,CareHosp@040
orangecity_nagpur,Orange City Hospital and Research Institute,orangecity_nagpur,CareHosp@041
wockhardt_nagpur,"Wockhardt Super Specialty Hospital, Nagpur",wockhardt_nagpur,CareHosp@042
kims_nagpur,KIMS-Kingsway Hospitals,kims_nagpur,CareHosp@043
alexis_nagpur,Alexis Multispeciality Hospital,alexis_nagpur,CareHosp@044
care_nagpur,"CARE Hospitals, Nagpur",care_nagpur,CareHosp@045
lata_nagpur,"Lata Mangeshkar Hospital, Digdoh",lata_nagpur,CareHosp@046
gmch_sambhajinagar,"Government Medical College and Hospital (Ghati), Chhatrapati Sambhajinagar",gmch_sambhajinagar,CareHosp@047
mgm_sambhajinagar,"MGM Medical College and Hospital, CIDCO",mgm_sambhajinagar,CareHosp@048
kamalnayan_sambhajinagar,Kamalnayan Bajaj Hospital,kamalnayan_sambhajinagar,CareHosp@049
dhoot_sambhajinagar,Seth Nandlal Dhoot Hospital and Research Foundation,dhoot_sambhajinagar,CareHosp@050
ciigma_sambhajinagar,CARE United CIIGMA Hospitals,ciigma_sambhajinagar,CareHosp@051
hedgewar_sambhajinagar,Dr. Hedgewar Rugnalaya,hedgewar_sambhajinagar,CareHosp@052
dgh_nandurbar,"District General Hospital, Nandurbar",dgh_nandurbar,CareHosp@053
sdh_taloda,"Sub District Hospital, Taloda",sdh_taloda,CareHosp@054
rh_akkalkuwa,"Rural Hospital, Akkalkuwa",rh_akkalkuwa,CareHosp@055
rh_shahada,"Rural Hospital, Shahada",rh_shahada,CareHosp@056
gh_gadchiroli,"General (District) Hospital, Gadchiroli",gh_gadchiroli,CareHosp@057
sdh_aheri,"Sub District Hospital, Aheri",sdh_aheri,CareHosp@058
sdh_armori,"Sub District Hospital, Armori",sdh_armori,CareHosp@059
search_shodhgram,"SEARCH Hospital, Shodhgram",search_shodhgram,CareHosp@060
jupiter_thane,"Jupiter Hospital, Thane",jupiter_thane,CareHosp@061
bethany_thane,Bethany Hospital,bethany_thane,CareHosp@062
kaushalya_thane,Kaushalya Medical Foundation Trust Hospital,kaushalya_thane,CareHosp@063
csmh_kalwa_thane,"Chhatrapati Shivaji Maharaj Hospital, Kalwa",csmh_kalwa_thane,CareHosp@064
highland_thane,Highland Super Speciality Hospital,highland_thane,CareHosp@065
fortis_vashi,"Fortis Hiranandani Hospital, Vashi",fortis_vashi,CareHosp@066
dypatil_nerul,"Dr. D.Y. Patil Hospital, Nerul",dypatil_nerul,CareHosp@067
nmmc_vashi,"NMMC General Hospital, Vashi",nmmc_vashi,CareHosp@068
mgm_vashi,"MGM New Bombay Hospital, Vashi",mgm_vashi,CareHosp@069
lokmanya_chinchwad,"Lokmanya Hospital, Chinchwad",lokmanya_chinchwad,CareHosp@070
dypatil_pimpri,"Dr. D.Y. Patil Hospital and Research Centre, Pimpri",dypatil_pimpri,CareHosp@071
civil_nashik,"Civil Hospital, Nashik",civil_nashik,CareHosp@072
medicover_nashik,"Ashoka Medicover Hospital, Nashik",medicover_nashik,CareHosp@073
apollo_nashik,"Apollo Hospitals, Nashik",apollo_nashik,CareHosp@074
vpmc_nashik,"Dr. Vasantrao Pawar Medical College, Hospital and Research Center",vpmc_nashik,CareHosp@075
rukminibai_kalyan,"Bai Rukminibai Hospital (KDMC), Kalyan",rukminibai_kalyan,CareHosp@076
shastrinagar_dombivli,"KDMC General Hospital, Shastri Nagar, Dombivli",shastrinagar_dombivli,CareHosp@077
icon_dombivli,"ICON Hospital, Dombivli",icon_dombivli,CareHosp@078
dmpetit_vasai,"VVCMC D.M. Petit Municipal Hospital, Vasai",dmpetit_vasai,CareHosp@079
wellcare_virar,"Wellcare Multispeciality Hospital, Virar",wellcare_virar,CareHosp@080
